year,district,age_range,entries,population,percentage
2023,1- Usaquen,"0-4",1881,30452,6.1769341915145146
2023,2- Chapinero,"0-4",77,10228,"0.75283535393038717247"
2023,3- Santa Fe,"0-4",882,8393,10.5087572977481234
2023,4- San Cristobal,"0-4",2466,32239,7.6491206302925029
2023,5- Usme,"0-4",4371,36417,12.0026361314770574
2023,6- Tunjuelito,"0-4",1031,15283,6.7460577111823595
2023,7- Bosa,"0-4",7161,49865,14.3607740900431164
2023,8- Kennedy,"0-4",5948,47940,12.4071756362119316
2023,9- Fontibon,"0-4",1520,20692,7.3458341387976029
2023,10- Engativa,"0-4",2612,33187,7.8705517220598427
2023,11- Suba,"0-4",4642,68536,6.7730827594257033
2023,12- Barrios Unidos,"0-4",146,9169,1.5923219544116043
2023,13- Teusaquillo,"0-4",22,7067,"0.31130607046837413330"
2023,14- Los Martires,"0-4",1003,4966,20.1973419250906162
2023,15- Antonio Narino,"0-4",219,7290,3.0041152263374486
2023,16- Puente Aranda,"0-4",204,13031,"1.5654976594275190"
2023,17- La Candelaria,"0-4",102,651,15.6682027649769585
2023,18- Rafael Uribe,"0-4",2073,29061,7.1332713946526272
2023,19- Ciudad Bolivar,"0-4",6587,56839,11.5888738366262601
2023,20- Sumapaz,"0-4",150,323,46.4396284829721362
2023,1- Usaquen,10-14,699,28954,"2.4141742073634040"
2023,2- Chapinero,10-14,26,6721,"0.38684719535783365571"
2023,3- Santa Fe,10-14,532,6045,8.8006617038875103
2023,4- San Cristobal,10-14,1689,26809,6.3001230929911597
2023,5- Usme,10-14,4722,30473,15.4956847044925016
2023,6- Tunjuelito,10-14,908,10898,8.3318040007340796
2023,7- Bosa,10-14,6283,52644,"11.9348833675252640"
2023,8- Kennedy,10-14,4215,65869,6.3990648104571194
2023,9- Fontibon,10-14,920,21830,4.2143838754008246
2023,10- Engativa,10-14,1443,44788,"3.2218451370902920"
2023,11- Suba,10-14,2566,74336,3.4518941024537236
2023,12- Barrios Unidos,10-14,69,6657,1.0365029292474087
2023,13- Teusaquillo,10-14,28,5910,"0.47377326565143824027"
2023,14- Los Martires,10-14,309,4383,7.0499657768651608
2023,15- Antonio Narino,10-14,166,4516,3.6758193091231178
2023,16- Puente Aranda,10-14,166,13217,1.25595823560565937807
2023,17- La Candelaria,10-14,77,803,"9.5890410958904110"
2023,18- Rafael Uribe,10-14,1284,24893,5.1580765677097979
2023,19- Ciudad Bolivar,10-14,5504,48933,"11.2480330247481250"
2023,20- Sumapaz,10-14,114,321,"35.5140186915887850"
2023,1- Usaquen,15-19,962,30744,3.1290658339838668
2023,2- Chapinero,15-19,24,7123,"0.33693668398146848238"
2023,3- Santa Fe,15-19,603,6761,8.9187989942316225
2023,4- San Cristobal,15-19,1840,29205,6.3002910460537579
2023,5- Usme,15-19,4295,31286,13.7281851307293997
2023,6- Tunjuelito,15-19,1121,11671,"9.6050038557107360"
2023,7- Bosa,15-19,6511,54711,11.9007146643271006
2023,8- Kennedy,15-19,4658,70102,6.6446035776440045
2023,9- Fontibon,15-19,981,24763,3.9615555465815935
2023,10- Engativa,15-19,1907,49706,3.8365589667243391
2023,11- Suba,15-19,3120,80128,3.8937699680511182
2023,12- Barrios Unidos,15-19,116,7646,1.5171331415119016
2023,13- Teusaquillo,15-19,40,6734,"0.59400059400059400059"
2023,14- Los Martires,15-19,334,4741,7.0449272305420797
2023,15- Antonio Narino,15-19,165,5188,3.1804163454124904
2023,16- Puente Aranda,15-19,199,14788,1.34568569110089261563
2023,17- La Candelaria,15-19,89,1751,5.0828098229583095
2023,18- Rafael Uribe,15-19,1272,26583,4.7850129782191626
2023,19- Ciudad Bolivar,15-19,5469,50693,10.7884717811137632
2023,20- Sumapaz,15-19,141,319,44.2006269592476489
2023,99- Unknown,15-19,1,105473,"0.00094810994282897045"
2023,1- Usaquen,20-24,1951,40459,4.8221656491757087
2023,2- Chapinero,20-24,73,11728,"0.62244201909959072306"
2023,3- Santa Fe,20-24,876,9748,8.9864587607714403
2023,4- San Cristobal,20-24,2983,34134,8.7390871272045468
2023,5- Usme,20-24,5107,35983,14.1928132729344413
2023,6- Tunjuelito,20-24,1740,14953,11.6364609108540092
2023,7- Bosa,20-24,7602,64773,11.7363716363299523
2023,8- Kennedy,20-24,6756,85493,7.9024013661937235
2023,9- Fontibon,20-24,1637,31864,"5.1374592016068290"
2023,10- Engativa,20-24,3412,64572,5.2840240351855293
2023,11- Suba,20-24,5554,102041,"5.4429102027616350"
2023,12- Barrios Unidos,20-24,166,11139,1.49025944878355328126
2023,13- Teusaquillo,20-24,19,11015,"0.17249205628688152519"
2023,14- Los Martires,20-24,640,7315,8.7491455912508544
2023,15- Antonio Narino,20-24,250,6555,3.8138825324180015
2023,16- Puente Aranda,20-24,344,19428,1.7706403129503809
2023,17- La Candelaria,20-24,144,2119,6.7956583294006607
2023,18- Rafael Uribe,20-24,1948,31430,6.1979000954502068
2023,19- Ciudad Bolivar,20-24,8043,57481,13.9924496790243733
2023,20- Sumapaz,20-24,129,286,45.1048951048951049
2023,1- Usaquen,25-29,2285,51185,4.4641984956530233
2023,2- Chapinero,25-29,101,17737,"0.56943113266054011389"
2023,3- Santa Fe,25-29,931,11539,8.0682901464598319
2023,4- San Cristobal,25-29,3505,38833,9.0258285478845312
2023,5- Usme,25-29,5978,39532,15.1219265405241323
2023,6- Tunjuelito,25-29,1842,18057,10.2010300714404386
2023,7- Bosa,25-29,7885,73059,10.7926470386947536
2023,8- Kennedy,25-29,7341,100746,7.2866416532666309
2023,9- Fontibon,25-29,1809,38827,4.6591289566538749
2023,10- Engativa,25-29,3959,79621,4.9723063011014682
2023,11- Suba,25-29,6550,122999,"5.3252465467198920"
2023,12- Barrios Unidos,25-29,184,14921,1.23316131626566584009
2023,13- Teusaquillo,25-29,22,16285,"0.13509364445809026712"
2023,14- Los Martires,25-29,635,9763,"6.5041483150670900"
2023,15- Antonio Narino,25-29,339,8004,4.2353823088455772
2023,16- Puente Aranda,25-29,355,24750,1.4343434343434343
2023,17- La Candelaria,25-29,177,1722,10.2787456445993031
2023,18- Rafael Uribe,25-29,2307,36994,6.2361464021192626
2023,19- Ciudad Bolivar,25-29,8786,64243,13.6761981850162664
2023,20- Sumapaz,25-29,152,280,54.2857142857142857
2023,1- Usaquen,30-34,2063,51125,4.0352078239608802
