ANO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|SEXO|EDAD|CURSODEVIDA|GRUPOEDAD|POBLACION_7
2023|0|Bogotá|Hombres|32|Adultez|30 a 34|74348
2023|0|Bogotá|Hombres|45|Adultez|45 a 49|49933
2023|0|Bogotá|Hombres|9|Infancia|05 a 09|48301
2023|0|Bogotá|Hombres|36|Adultez|35 a 39|65441
2023|0|Bogotá|Hombres|16|Adolescencia|15 a 19|48603
2023|0|Bogotá|Hombres|12|Adolescencia|10 a 14|47477
2023|0|Bogotá|Hombres|35|Adultez|35 a 39|67551
2023|0|Bogotá|Hombres|87|Vejez|85 a 89|3037
2023|0|Bogotá|Hombres|0|Primera Infancia|00 a 04|46171
2023|0|Bogotá|Hombres|20|Juventud|20 a 24|55516
2023|0|Bogotá|Hombres|38|Adultez|35 a 39|62070
2023|0|Bogotá|Hombres|82|Vejez|80 a 84|6100
2023|0|Bogotá|Hombres|83|Vejez|80 a 84|5355
2023|0|Bogotá|Hombres|64|Vejez|60 a 64|30302
2023|0|Bogotá|Hombres|73|Vejez|70 a 74|15657
2023|0|Bogotá|Hombres|27|Juventud|25 a 29|81832
2023|0|Bogotá|Hombres|56|Adultez|55 a 59|39985
2023|0|Bogotá|Hombres|8|Infancia|05 a 09|48809
2023|0|Bogotá|Hombres|63|Vejez|60 a 64|32079
2023|0|Bogotá|Hombres|92|Vejez|90 a 94|1331
2023|0|Bogotá|Hombres|52|Adultez|50 a 54|41047
2023|0|Bogotá|Hombres|58|Adultez|55 a 59|38666
2023|0|Bogotá|Hombres|77|Vejez|75 a 79|10838
2023|0|Bogotá|Hombres|59|Adultez|55 a 59|37678
2023|0|Bogotá|Hombres|71|Vejez|70 a 74|18460
2023|0|Bogotá|Hombres|3|Primera Infancia|00 a 04|49924
2023|0|Bogotá|Hombres|24|Juventud|20 a 24|72495
2023|0|Bogotá|Hombres|80|Vejez|80 a 84|7812
2023|0|Bogotá|Hombres|96|Vejez|95 a 99|638
2023|0|Bogotá|Hombres|47|Adultez|45 a 49|45893
2023|0|Bogotá|Hombres|17|Adolescencia|15 a 19|49556
2023|0|Bogotá|Hombres|33|Adultez|30 a 34|72069
2023|0|Bogotá|Hombres|50|Adultez|50 a 54|42209
2023|0|Bogotá|Hombres|90|Vejez|90 a 94|1878
2023|0|Bogotá|Hombres|70|Vejez|70 a 74|19999
2023|0|Bogotá|Hombres|95|Vejez|95 a 99|773
2023|0|Bogotá|Hombres|19|Juventud|15 a 19|52980
2023|0|Bogotá|Hombres|43|Adultez|40 a 44|54333
2023|0|Bogotá|Hombres|53|Adultez|50 a 54|40780
2023|0|Bogotá|Hombres|68|Vejez|65 a 69|23190
2023|0|Bogotá|Hombres|91|Vejez|90 a 94|1579
2023|0|Bogotá|Hombres|22|Juventud|20 a 24|62654
2023|0|Bogotá|Hombres|60|Vejez|60 a 64|36521
2023|0|Bogotá|Hombres|61|Vejez|60 a 64|35230
2023|0|Bogotá|Hombres|11|Infancia|10 a 14|47624
2023|0|Bogotá|Hombres|67|Vejez|65 a 69|24886
2023|0|Bogotá|Hombres|7|Infancia|05 a 09|49348
2023|0|Bogotá|Hombres|40|Adultez|40 a 44|59464
2023|0|Bogotá|Hombres|42|Adultez|40 a 44|56307
2023|0|Bogotá|Hombres|66|Vejez|65 a 69|26663
2023|0|Bogotá|Hombres|6|Infancia|05 a 09|49856
2023|0|Bogotá|Hombres|65|Vejez|65 a 69|28480
2023|0|Bogotá|Hombres|72|Vejez|70 a 74|17009
2023|0|Bogotá|Hombres|2|Primera Infancia|00 a 04|48127
2023|0|Bogotá|Hombres|85|Vejez|85 a 89|4074
2023|0|Bogotá|Hombres|13|Adolescencia|10 a 14|47495
2023|0|Bogotá|Hombres|76|Vejez|75 a 79|11963
2023|0|Bogotá|Hombres|30|Adultez|30 a 34|78471
2023|0|Bogotá|Hombres|97|Vejez|95 a 99|527
2023|0|Bogotá|Hombres|100|Vejez|100 o más|1033
2023|0|Bogotá|Hombres|15|Adolescencia|15 a 19|48000
2023|0|Bogotá|Hombres|26|Juventud|25 a 29|80056
2023|0|Bogotá|Hombres|75|Vejez|75 a 79|13155
2023|0|Bogotá|Hombres|86|Vejez|85 a 89|3527
2023|0|Bogotá|Hombres|89|Vejez|85 a 89|2216
2023|0|Bogotá|Hombres|31|Adultez|30 a 34|76524
2023|0|Bogotá|Hombres|14|Adolescencia|10 a 14|47653
2023|0|Bogotá|Hombres|5|Primera Infancia|05 a 09|50217
2023|0|Bogotá|Hombres|29|Adultez|25 a 29|80194
2023|0|Bogotá|Hombres|48|Adultez|45 a 49|44329
2023|0|Bogotá|Hombres|54|Adultez|50 a 54|40611
2023|0|Bogotá|Hombres|74|Vejez|70 a 74|14390
2023|0|Bogotá|Hombres|79|Vejez|75 a 79|8767
2023|0|Bogotá|Hombres|21|Juventud|20 a 24|58661
2023|0|Bogotá|Hombres|37|Adultez|35 a 39|63579
2023|0|Bogotá|Hombres|84|Vejez|80 a 84|4686
2023|0|Bogotá|Hombres|34|Adultez|30 a 34|69788
2023|0|Bogotá|Hombres|94|Vejez|90 a 94|923
2023|0|Bogotá|Hombres|25|Juventud|25 a 29|76657
2023|0|Bogotá|Hombres|93|Vejez|90 a 94|1114
2023|0|Bogotá|Hombres|57|Adultez|55 a 59|39433
2023|0|Bogotá|Hombres|78|Vejez|75 a 79|9777
2023|0|Bogotá|Hombres|88|Vejez|85 a 89|2601
2023|0|Bogotá|Hombres|28|Juventud|25 a 29|81676
2023|0|Bogotá|Hombres|4|Primera Infancia|00 a 04|50062
2023|0|Bogotá|Hombres|23|Juventud|20 a 24|67536
2023|0|Bogotá|Hombres|39|Adultez|35 a 39|60781
2023|0|Bogotá|Hombres|44|Adultez|40 a 44|52166
2023|0|Bogotá|Hombres|62|Vejez|60 a 64|33748
2023|0|Bogotá|Hombres|18|Juventud|15 a 19|50994
2023|0|Bogotá|Hombres|41|Adultez|40 a 44|57992
2023|0|Bogotá|Hombres|55|Adultez|55 a 59|40365
2023|0|Bogotá|Hombres|81|Vejez|80 a 84|6915
2023|0|Bogotá|Hombres|10|Infancia|10 a 14|47901
2023|0|Bogotá|Hombres|46|Adultez|45 a 49|47789
2023|0|Bogotá|Hombres|49|Adultez|45 a 49|43098
2023|0|Bogotá|Hombres|69|Vejez|65 a 69|21572
2023|0|Bogotá|Hombres|98|Vejez|95 a 99|439
2023|0|Bogotá|Hombres|99|Vejez|95 a 99|366
2023|0|Bogotá|Hombres|51|Adultez|50 a 54|41515
2023|0|Bogotá|Hombres|1|Primera Infancia|00 a 04|46492
2023|0|Bogotá|Mujeres|6|Infancia|05 a 09|47841
2023|0|Bogotá|Mujeres|15|Adolescencia|15 a 19|46377
2023|0|Bogotá|Mujeres|71|Vejez|70 a 74|26385
2023|0|Bogotá|Mujeres|82|Vejez|80 a 84|9855
2023|0|Bogotá|Mujeres|93|Vejez|90 a 94|1887
2023|0|Bogotá|Mujeres|98|Vejez|95 a 99|634
2023|0|Bogotá|Mujeres|13|Adolescencia|10 a 14|45842
2023|0|Bogotá|Mujeres|17|Adolescencia|15 a 19|48172
2023|0|Bogotá|Mujeres|23|Juventud|20 a 24|68139
2023|0|Bogotá|Mujeres|86|Vejez|85 a 89|5937
2023|0|Bogotá|Mujeres|87|Vejez|85 a 89|5150
2023|0|Bogotá|Mujeres|30|Adultez|30 a 34|77706
2023|0|Bogotá|Mujeres|46|Adultez|45 a 49|54848
2023|0|Bogotá|Mujeres|75|Vejez|75 a 79|19627
2023|0|Bogotá|Mujeres|95|Vejez|95 a 99|1256
2023|0|Bogotá|Mujeres|72|Vejez|70 a 74|24571
2023|0|Bogotá|Mujeres|96|Vejez|95 a 99|1009
2023|0|Bogotá|Mujeres|100|Vejez|100 o más|1352
2023|0|Bogotá|Mujeres|29|Adultez|25 a 29|79349
2023|0|Bogotá|Mujeres|73|Vejez|70 a 74|22852
2023|0|Bogotá|Mujeres|25|Juventud|25 a 29|76528
2023|0|Bogotá|Mujeres|51|Adultez|50 a 54|50307
2023|0|Bogotá|Mujeres|66|Vejez|65 a 69|36262
2023|0|Bogotá|Mujeres|69|Vejez|65 a 69|30206
2023|0|Bogotá|Mujeres|77|Vejez|75 a 79|16564
2023|0|Bogotá|Mujeres|22|Juventud|20 a 24|63325
2023|0|Bogotá|Mujeres|80|Vejez|80 a 84|12359
2023|0|Bogotá|Mujeres|90|Vejez|90 a 94|3235
2023|0|Bogotá|Mujeres|76|Vejez|75 a 79|18065
2023|0|Bogotá|Mujeres|48|Adultez|45 a 49|52202
2023|0|Bogotá|Mujeres|19|Juventud|15 a 19|52493
2023|0|Bogotá|Mujeres|55|Adultez|55 a 59|50479
